,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,cross_subject
0,1.0,1.0,0.0,les,500,80,2473,1,1,False,10.0,True
1,0.6518518518518519,0.5222222222222223,2.322575092315674,les,500,80,2473,1,3,False,10.0,True
2,0.5535055350553506,0.5055350553505535,1.4760277271270752,les,500,80,2473,1,7,False,10.0,True
3,0.5984848484848485,0.39015151515151514,1.4513983726501465,les,500,80,2473,1,8,False,10.0,True
4,0.43037974683544306,0.26582278481012656,1.42753005027771,les,500,80,2473,1,9,False,10.0,True
5,0.6776556776556777,0.3443223443223443,1.413287878036499,les,500,80,2473,3,1,False,10.0,True
6,1.0,1.0,0.0,les,500,80,2473,3,3,False,10.0,True
7,0.6383763837638377,0.30996309963099633,1.415032148361206,les,500,80,2473,3,7,False,10.0,True
8,0.6893939393939394,0.4962121212121212,1.3997747898101807,les,500,80,2473,3,8,False,10.0,True
9,0.459915611814346,0.2742616033755274,1.6124706268310547,les,500,80,2473,3,9,False,10.0,True
10,0.5824175824175825,0.5201465201465202,1.4236433506011963,les,500,80,2473,7,1,False,10.0,True
11,0.6444444444444445,0.5333333333333333,1.4135515689849854,les,500,80,2473,7,3,False,10.0,True
12,1.0,1.0,0.0,les,500,80,2473,7,7,False,10.0,True
13,0.4356060606060606,0.26136363636363635,1.4336307048797607,les,500,80,2473,7,8,False,10.0,True
14,0.3924050632911392,0.26582278481012656,1.4266033172607422,les,500,80,2473,7,9,False,10.0,True
15,0.5494505494505495,0.4981684981684982,1.4313886165618896,les,500,80,2473,8,1,False,10.0,True
16,0.6592592592592592,0.5777777777777777,1.5044715404510498,les,500,80,2473,8,3,False,10.0,True
17,0.34686346863468637,0.24354243542435425,1.4194140434265137,les,500,80,2473,8,7,False,10.0,True
18,1.0,1.0,0.0,les,500,80,2473,8,8,False,10.0,True
19,0.4936708860759494,0.39662447257383965,1.4379322528839111,les,500,80,2473,8,9,False,10.0,True
20,0.45787545787545786,0.2673992673992674,1.4502575397491455,les,500,80,2473,9,1,False,10.0,True
21,0.4777777777777778,0.2851851851851852,1.4311919212341309,les,500,80,2473,9,3,False,10.0,True
22,0.25461254612546125,0.24723247232472326,1.4828121662139893,les,500,80,2473,9,7,False,10.0,True
23,0.5340909090909091,0.3977272727272727,1.4567010402679443,les,500,80,2473,9,8,False,10.0,True
24,1.0,1.0,0.0,les,500,80,2473,9,9,False,10.0,True
25,1.0,1.0,0.0,les,500,80,7490,1,1,False,10.0,True
26,0.6518518518518519,0.5222222222222223,1.3574469089508057,les,500,80,7490,1,3,False,10.0,True
27,0.5535055350553506,0.5055350553505535,1.4543378353118896,les,500,80,7490,1,7,False,10.0,True
28,0.5984848484848485,0.39015151515151514,1.460071325302124,les,500,80,7490,1,8,False,10.0,True
29,0.43037974683544306,0.26582278481012656,1.46187424659729,les,500,80,7490,1,9,False,10.0,True
30,0.6776556776556777,0.3443223443223443,1.4052226543426514,les,500,80,7490,3,1,False,10.0,True
31,1.0,1.0,0.0,les,500,80,7490,3,3,False,10.0,True
32,0.6383763837638377,0.30996309963099633,1.3910019397735596,les,500,80,7490,3,7,False,10.0,True
33,0.6893939393939394,0.4962121212121212,1.428100347518921,les,500,80,7490,3,8,False,10.0,True
34,0.459915611814346,0.2742616033755274,1.4424984455108643,les,500,80,7490,3,9,False,10.0,True
35,0.5824175824175825,0.5201465201465202,1.4595551490783691,les,500,80,7490,7,1,False,10.0,True
36,0.6444444444444445,0.5333333333333333,1.4302191734313965,les,500,80,7490,7,3,False,10.0,True
37,1.0,1.0,0.0,les,500,80,7490,7,7,False,10.0,True
38,0.4356060606060606,0.26136363636363635,1.4383080005645752,les,500,80,7490,7,8,False,10.0,True
39,0.3924050632911392,0.26582278481012656,1.4127874374389648,les,500,80,7490,7,9,False,10.0,True
40,0.5494505494505495,0.4981684981684982,1.4408724308013916,les,500,80,7490,8,1,False,10.0,True
41,0.6592592592592592,0.5777777777777777,1.4050452709197998,les,500,80,7490,8,3,False,10.0,True
42,0.34686346863468637,0.24354243542435425,1.4317328929901123,les,500,80,7490,8,7,False,10.0,True
43,1.0,1.0,0.0,les,500,80,7490,8,8,False,10.0,True
44,0.4936708860759494,0.39662447257383965,1.4426908493041992,les,500,80,7490,8,9,False,10.0,True
45,0.45787545787545786,0.2673992673992674,1.4230172634124756,les,500,80,7490,9,1,False,10.0,True
46,0.4777777777777778,0.2851851851851852,1.4139363765716553,les,500,80,7490,9,3,False,10.0,True
47,0.25461254612546125,0.24723247232472326,1.4669923782348633,les,500,80,7490,9,7,False,10.0,True
48,0.5340909090909091,0.3977272727272727,1.4611756801605225,les,500,80,7490,9,8,False,10.0,True
49,1.0,1.0,0.0,les,500,80,7490,9,9,False,10.0,True
50,1.0,1.0,0.0,les,500,80,7066,1,1,False,10.0,True
51,0.6518518518518519,0.5222222222222223,1.4266674518585205,les,500,80,7066,1,3,False,10.0,True
52,0.5535055350553506,0.5055350553505535,1.422722339630127,les,500,80,7066,1,7,False,10.0,True
53,0.5984848484848485,0.39015151515151514,1.4215705394744873,les,500,80,7066,1,8,False,10.0,True
54,0.43037974683544306,0.26582278481012656,1.4491767883300781,les,500,80,7066,1,9,False,10.0,True
55,0.6776556776556777,0.3443223443223443,1.4492807388305664,les,500,80,7066,3,1,False,10.0,True
56,1.0,1.0,0.0,les,500,80,7066,3,3,False,10.0,True
57,0.6383763837638377,0.30996309963099633,1.4522652626037598,les,500,80,7066,3,7,False,10.0,True
58,0.6893939393939394,0.4962121212121212,1.4148361682891846,les,500,80,7066,3,8,False,10.0,True
59,0.459915611814346,0.2742616033755274,1.4614815711975098,les,500,80,7066,3,9,False,10.0,True
60,0.5824175824175825,0.5201465201465202,1.4239802360534668,les,500,80,7066,7,1,False,10.0,True
61,0.6444444444444445,0.5333333333333333,2.3445606231689453,les,500,80,7066,7,3,False,10.0,True
62,1.0,1.0,0.0,les,500,80,7066,7,7,False,10.0,True
63,0.4356060606060606,0.26136363636363635,1.402968168258667,les,500,80,7066,7,8,False,10.0,True
64,0.3924050632911392,0.26582278481012656,1.4651412963867188,les,500,80,7066,7,9,False,10.0,True
65,0.5494505494505495,0.4981684981684982,1.4255781173706055,les,500,80,7066,8,1,False,10.0,True
66,0.6592592592592592,0.5777777777777777,1.4246220588684082,les,500,80,7066,8,3,False,10.0,True
67,0.34686346863468637,0.24354243542435425,1.4359462261199951,les,500,80,7066,8,7,False,10.0,True
68,1.0,1.0,0.0,les,500,80,7066,8,8,False,10.0,True
69,0.4936708860759494,0.39662447257383965,1.3912272453308105,les,500,80,7066,8,9,False,10.0,True
70,0.45787545787545786,0.2673992673992674,1.455883264541626,les,500,80,7066,9,1,False,10.0,True
71,0.4777777777777778,0.2851851851851852,2.745817184448242,les,500,80,7066,9,3,False,10.0,True
72,0.25461254612546125,0.24723247232472326,1.7561306953430176,les,500,80,7066,9,7,False,10.0,True
73,0.5340909090909091,0.3977272727272727,1.7456953525543213,les,500,80,7066,9,8,False,10.0,True
74,1.0,1.0,0.0,les,500,80,7066,9,9,False,10.0,True
75,1.0,1.0,0.0,les,500,80,1884,1,1,False,10.0,True
76,0.6518518518518519,0.5222222222222223,1.763716697692871,les,500,80,1884,1,3,False,10.0,True
77,0.5535055350553506,0.5055350553505535,1.737231969833374,les,500,80,1884,1,7,False,10.0,True
78,0.5984848484848485,0.39015151515151514,1.7683980464935303,les,500,80,1884,1,8,False,10.0,True
79,0.43037974683544306,0.26582278481012656,1.7253220081329346,les,500,80,1884,1,9,False,10.0,True
80,0.6776556776556777,0.3443223443223443,1.7588982582092285,les,500,80,1884,3,1,False,10.0,True
81,1.0,1.0,0.0,les,500,80,1884,3,3,False,10.0,True
82,0.6383763837638377,0.30996309963099633,1.747068166732788,les,500,80,1884,3,7,False,10.0,True
83,0.6893939393939394,0.4962121212121212,1.7865912914276123,les,500,80,1884,3,8,False,10.0,True
84,0.459915611814346,0.2742616033755274,1.7011933326721191,les,500,80,1884,3,9,False,10.0,True
85,0.5824175824175825,0.5201465201465202,1.730567455291748,les,500,80,1884,7,1,False,10.0,True
86,0.6444444444444445,0.5333333333333333,1.7621562480926514,les,500,80,1884,7,3,False,10.0,True
87,1.0,1.0,0.0,les,500,80,1884,7,7,False,10.0,True
88,0.4356060606060606,0.26136363636363635,1.3668711185455322,les,500,80,1884,7,8,False,10.0,True
89,0.3924050632911392,0.26582278481012656,1.7391905784606934,les,500,80,1884,7,9,False,10.0,True
90,0.5494505494505495,0.4981684981684982,1.806960105895996,les,500,80,1884,8,1,False,10.0,True
91,0.6592592592592592,0.5777777777777777,1.7558703422546387,les,500,80,1884,8,3,False,10.0,True
92,0.34686346863468637,0.24354243542435425,1.767566204071045,les,500,80,1884,8,7,False,10.0,True
93,1.0,1.0,0.0,les,500,80,1884,8,8,False,10.0,True
94,0.4936708860759494,0.39662447257383965,1.7862215042114258,les,500,80,1884,8,9,False,10.0,True
95,0.45787545787545786,0.2673992673992674,1.7797133922576904,les,500,80,1884,9,1,False,10.0,True
96,0.4777777777777778,0.2851851851851852,1.046720027923584,les,500,80,1884,9,3,False,10.0,True
