,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,dataset,resample,epoch_tmin,epoch_tmax,cov_fs,cov_time_window,cross_subject,lr
38,0.76,0.655,2.6100330352783203,spdsw,500,500,2473,4,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
39,1.0,1.0,0.0,spdsw,500,500,2473,4,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
40,0.62,0.505,2.4651620388031006,spdsw,500,500,2473,4,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
41,0.52,0.535,2.4860012531280518,spdsw,500,500,2473,4,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
42,0.645,0.58,2.477139472961426,spdsw,500,500,2473,4,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
43,0.52,0.495,2.6040964126586914,spdsw,500,500,2473,4,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
44,0.555,0.54,2.465346336364746,spdsw,500,500,2473,4,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
45,0.585,0.565,2.4592673778533936,spdsw,500,500,2473,4,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
46,0.51,0.54,3.0077037811279297,spdsw,500,500,2473,4,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
47,0.52,0.515,2.4862828254699707,spdsw,500,500,2473,4,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
48,0.945,0.55,2.472571849822998,spdsw,500,500,2473,5,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
49,0.87,0.715,2.4563052654266357,spdsw,500,500,2473,5,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
50,0.81,0.745,2.47308087348938,spdsw,500,500,2473,5,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
51,0.77,0.665,2.4850780963897705,spdsw,500,500,2473,5,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
52,1.0,1.0,0.0,spdsw,500,500,2473,5,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
53,0.585,0.6,2.498725652694702,spdsw,500,500,2473,5,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
54,0.655,0.67,2.472626209259033,spdsw,500,500,2473,5,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
55,0.49,0.435,2.5334391593933105,spdsw,500,500,2473,5,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
56,0.56,0.505,2.456084728240967,spdsw,500,500,2473,5,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
57,0.575,0.51,2.3987669944763184,spdsw,500,500,2473,5,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
58,0.465,0.575,2.531243085861206,spdsw,500,500,2473,5,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
59,0.505,0.47,2.4645090103149414,spdsw,500,500,2473,5,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
60,0.86,0.51,2.5089502334594727,spdsw,500,500,2473,6,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
61,0.81,0.63,2.4935050010681152,spdsw,500,500,2473,6,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
62,0.68,0.695,2.4806549549102783,spdsw,500,500,2473,6,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
63,0.685,0.595,2.605419158935547,spdsw,500,500,2473,6,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
64,0.64,0.505,2.4122745990753174,spdsw,500,500,2473,6,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
